Name,Location,time,date,description,upvotes
PRIDE HIKE WITH CHAMPAIGN OUTDOORS,Meadowbrook Park2808 S Race St,9:00am,"September 28, 2019", ,0
PET FAIR EXTRAVAGANZA,Prairieland Feeds303 W. Dunlap St.,9:00am - 4:00pm,"September 28, 2019", ,0
BLUEGRASS JUBILEE AT THE VAULT ART GALLERY,The Vault Art Gallery100 S. Main St.,10:00am - 5:00pm,"September 28, 2019", ,0
TAKE A CHILD OUTSIDE SCAVENGER HUNT,Museum of the Grand Prairie600 N. Lombard,10:00am - 11:00am,"September 28, 2019", ,0
C-U BLACK & AFRICAN ARTS FESTIVAL,,10:00am - 7:00pm,"September 28, 2019", ,0
SHOWCASE PARADE OF HOMES 2019,,10:00am - 6:00pm,"September 28, 2019", ,0
RIGGS BEER EVENT AT HOULIHAN'S,Houlihan's1902 S. First St.,11:00am - 11:00pm,"September 28, 2019", ,0
MOMOLOGY CENTRAL ILLINOIS MOM EXTRAVAGANZA,Lodgic Everyday Community1817 S. Neil St.,12:00pm - 4:00pm,"September 28, 2019", ,0
VINTAGE BASEBALL AT RIGGS,Riggs Beer Company1901 S. High Cross Road,12:30pm,"September 28, 2019", ,0
CU PRIDEFEST AND PARADE AT THE ORPHEUM,Orpheum Children's Science Museum346 N. Neil St.,1:00pm,"September 28, 2019", ,0
WELCOMING WEEK 2019,,2:00pm,"September 28, 2019", ,0
PARANORMAL CIRQUE,,6:30pm - 8:30pm,"September 28, 2019", ,0
BALDWIN ASYLUM HAUNTED HOUSE,"2040 Lon Dr.Rantoul, il 61866",7:00pm - 11:55pm,"September 28, 2019", ,0
FIGHTING ILLINI VOLLEYBALL,Huff Hall1206 S. Fourth St.,7:00pm,"September 28, 2019", ,0
"NO EXIT BY JEAN-PAUL SARTRE, PERFORMED BY TWIN CITY THEATRE COMPANY",,7:30pm - 9:00am,"September 28, 2019", ,0
PARANORMAL CIRQUE,,9:30pm - 11:30pm,"September 28, 2019", ,0
PYGMALION 15 JERRY PAPER W/ TATIANA HAZEL + ZZO,Blackbird119 W. Main St.,10:00pm,"September 28, 2019", ,0
SHOWCASE PARADE OF HOMES 2019,,10:00am - 6:00pm,"September 29, 2019", ,0
RIGGS BEER EVENT AT HOULIHAN'S,Houlihan's1902 S. First St.,11:00am - 9:00pm,"September 29, 2019", ,0
PET FAIR EXTRAVAGANZA,Prairieland Feeds303 W. Dunlap St.,11:00am - 4:00pm,"September 29, 2019", ,0
"EMPOWER YOURSELF, PAMPER YOUR SKIN",Backyard Beauty1429 E 2000 North Rd.,1:00pm - 4:00pm,"September 29, 2019", ,0
IST ANNUAL SWIRL QUEER FILM FESTIVAL,The Art Theater Co-op126 W. Church St.,2:00pm,"September 29, 2019", ,0
"NO EXIT BY JEAN-PAUL SARTRE, PERFORMED BY TWIN CITY THEATRE COMPANY",,2:00pm - 3:30pm,"September 29, 2019", ,0
PARANORMAL CIRQUE,,5:30pm - 7:30pm,"September 29, 2019", ,0
WELCOMING WEEK 2019,,1:00pm,"September 30, 2019", ,0
FLOWER ARRANGING WORKSHOP,Allerton Park & Retreat Center515 Old Time Rd.,6:00pm - 8:00pm,"September 30, 2019", ,0
BLUES DANCE EVERY MONDAY,,6:00pm - 9:00pm,"September 30, 2019", ,0
PARANORMAL CIRQUE,,8:30pm - 10:30pm,"September 30, 2019", ,0
ISANGO ENSEMBLE: AESOP'S FABLES,Krannert Center for the Performing Arts500 S. Goodwin Ave.,7:00pm - 7:00pm,"October 1, 2019", ,0
AN EVENING WITH LISA SCOTTOLINE,Champaign Public Library200 West Green Street,7:00pm - 8:00pm,"October 1, 2019", ,0
