Name,Location,time,date,description,upvotes
Exhibit -- The Iron Horse of the Prairie State,"Main Library, room 324",12:00am - 11:59pm,"September 28, 2019","The Illinois History and Lincoln Collections is pleased to present “The Iron Horse of the Prairie State,” an exhibit that explores the evolution of the railroad in Illinois’s history. The exhibit showcases the IHLC’s holdings related to railroads, from their inception when railroad fever struck Illinois in the 1830s to today.",0
"What is the SKY Happiness Retreat? SKY Happiness Retreat is a holistic happiness and well-being program taught over 3 days on campus which trains participants in the evidence-based SKY meditation practice, breathing techniques, yoga, social connection and mindful leadership. SKY has been shown to significantly reduce anxiety and depression, lower stress markers, and inc",SKY Happiness Retreat @ UIUC,6:00 - 10:00 pm,"September 28, 2019",Conference/Workshop,0
Music Barn Festival: Songs Along the Sangamon - Allerton Park Concert Series,Allerton Park - The Music Barn,7:00 pm,"September 28, 2019","MUSIC BARN FESTIVAL: SONGS ALONG THE SANGAMON – ALLERTON PARK CONCERT SERIES Join the University of Illinois School of Music during this candlelit weekend of crickets, cocktails, and rich music in Allerton’s idyllic Music Barn. Purchase tickets here.",0
Physics at the Market,Urbana's Market at the Square: Corner of Illinois and Vine St.,8:00 am - 12:00 pm,"September 28, 2019","Ask a UIUC physicist your questions about the universe and how it works! Come see a super conductor make a magnet float! There are also singing magnets, florescence, wave propagation, reference frames, event horizons, and more!",0
KAM Exhibition | All This Beauty and Color: Highlights from the WPA,"Main Level, Kinkead Gallery",12:00am - 11:59pm,"September 28, 2019",This exhibition showcases a selection of paintings created by American artists who were employed as part of the New Deal Works Progress Administration. This art is on long term loan to Krannert Art Museum from the United States Government and is cared for as part of the museum collection.,0
KAM Exhibition | Art Since 1948,"Main Level, Rosann Gelvin Noel Gallery",12:00am - 11:59pm,"September 28, 2019","With strengths in surrealism, abstract painting, mid-century kinetic and light works, and art addressing powerful themes of history, land use, and identity, ""Art Since 1948"" surveys the collection and encourages formal and conceptual connections across six decades.",0
KAM Exhibition | Reinstallation of European and American Art,"Main Level, Bow and Trees Galleries",12:00am - 11:59pm,"September 28, 2019","The Bow and Trees Galleries, which have been freshly painted with new colors, feature thoughtful reinterpretations of KAM’s collection of European and American art from the 1300s to 1950.",0
KAM Exhibition | Revealing Presence: Women in Architecture at the University of Illinois,"Main Level, East Gallery",12:00am - 11:59pm,"September 28, 2019","""Revealing Presence"" illuminates the scale and breadth of architectural work by women and its enduring contribution to the built environment by focusing on the work of alumnae of the Illinois School of Architecture.",0
Spurlock Museum exhibit | In Her Closet—How to Make a Drag Queen,"Spurlock Museum, 600 S Gregory St, Urbana",12:00am - 11:59pm,"September 28, 2019","When you hear “drag queen,” what comes to mind? The popularity of drag has exploded in recent years, and so have the questions and curiosities related to drag artistry. This exhibit explores these questions and curates a selection of costumes and materials loaned by several drag performers connected to the local area.",0
Touching All The Bases: A Peek Inside the World of a Baseball Physicist,141 Loomis Laboratory,10:15 am,"September 28, 2019","Professor Alan Nathan, a baseball enthusiast and world renowned expert in the physics of baseball will discuss how understanding the physics of the sport might give you an advantage when swinging for the stands.",0
KAM Event | Chamber Music Series: Guido Sanchez-Portuguez,"Main Level, East Gallery",2:00 pm,"September 28, 2019",Join us for a free Saturday performance in the KAM Chamber Music Series by classical guitarist Guido Sanchez-Portuguez.,0
IPRH at PYGMALION: J. Allyn Rosser & Mark Halliday,"Krannert Center for Performing Arts, Stage 5 (500 S Goodwin Ave, Urbana)",4:00 pm,"September 28, 2019","A reading by poets J. Allyn Rosser and Mark Halliday. Part of Pygmalion, September 26–28. Free and open to the public.",0
PYGMALION: J. Allyn Rosser + Mark Halliday,Stage 5,4:00 pm,"September 28, 2019","As PYGMALION enters its 15th year, it remains one of the most culturally creative events in Champaign-Urbana and downstate Illinois. The ever-expanding offerings have grown to include music, technology, literature, food, and maker components.",0
Illinois Volleyball vs. Iowa,Huff Hall,7:00 pm,"September 28, 2019",Sporting Event,0
Music Barn Festival: Songs Along the Sangamon - Allerton Park Concert Series,Allerton Park - The Music Barn,7:00 pm,"September 28, 2019","MUSIC BARN FESTIVAL: SONGS ALONG THE SANGAMON – ALLERTON PARK CONCERT SERIES Join the University of Illinois School of Music during this candlelit weekend of crickets, cocktails, and rich music in Allerton’s idyllic Music Barn. Purchase tickets here.",0
HOME by Geoff Sobelle,Colwell Playhouse,7:30 pm,"September 28, 2019","HOME combines dance, illusion, live music, homespun engineering, and inventive audience interaction to compose a work that awakens its viewers to housing dilemmas both local and global while asking, “Where is home?”",0
Exhibit -- The Iron Horse of the Prairie State,"Main Library, room 324",12:00am - 11:59pm,"September 29, 2019","The Illinois History and Lincoln Collections is pleased to present “The Iron Horse of the Prairie State,” an exhibit that explores the evolution of the railroad in Illinois’s history. The exhibit showcases the IHLC’s holdings related to railroads, from their inception when railroad fever struck Illinois in the 1830s to today.",0
"What is the SKY Happiness Retreat? SKY Happiness Retreat is a holistic happiness and well-being program taught over 3 days on campus which trains participants in the evidence-based SKY meditation practice, breathing techniques, yoga, social connection and mindful leadership. SKY has been shown to significantly reduce anxiety and depression, lower stress markers, and inc",SKY Happiness Retreat @ UIUC,6:00 - 10:00 pm,"September 29, 2019",Conference/Workshop,0
Spurlock Museum exhibit | In Her Closet—How to Make a Drag Queen,"Spurlock Museum, 600 S Gregory St, Urbana",12:00am - 11:59pm,"September 29, 2019","When you hear “drag queen,” what comes to mind? The popularity of drag has exploded in recent years, and so have the questions and curiosities related to drag artistry. This exhibit explores these questions and curates a selection of costumes and materials loaned by several drag performers connected to the local area.",0
Exhibit -- The Iron Horse of the Prairie State,"Main Library, room 324",12:00am - 11:59pm,"September 30, 2019","The Illinois History and Lincoln Collections is pleased to present “The Iron Horse of the Prairie State,” an exhibit that explores the evolution of the railroad in Illinois’s history. The exhibit showcases the IHLC’s holdings related to railroads, from their inception when railroad fever struck Illinois in the 1830s to today.",0
KAM Exhibition | All This Beauty and Color: Highlights from the WPA,"Main Level, Kinkead Gallery",12:00am - 11:59pm,"September 30, 2019",This exhibition showcases a selection of paintings created by American artists who were employed as part of the New Deal Works Progress Administration. This art is on long term loan to Krannert Art Museum from the United States Government and is cared for as part of the museum collection.,0
KAM Exhibition | Art Since 1948,"Main Level, Rosann Gelvin Noel Gallery",12:00am - 11:59pm,"September 30, 2019","With strengths in surrealism, abstract painting, mid-century kinetic and light works, and art addressing powerful themes of history, land use, and identity, ""Art Since 1948"" surveys the collection and encourages formal and conceptual connections across six decades.",0
KAM Exhibition | Reinstallation of European and American Art,"Main Level, Bow and Trees Galleries",12:00am - 11:59pm,"September 30, 2019","The Bow and Trees Galleries, which have been freshly painted with new colors, feature thoughtful reinterpretations of KAM’s collection of European and American art from the 1300s to 1950.",0
KAM Exhibition | Revealing Presence: Women in Architecture at the University of Illinois,"Main Level, East Gallery",12:00am - 11:59pm,"September 30, 2019","""Revealing Presence"" illuminates the scale and breadth of architectural work by women and its enduring contribution to the built environment by focusing on the work of alumnae of the Illinois School of Architecture.",0
"Silicon Valley Entrepreneurship Workshop Application Due Sept. 30, 2019",Silicon Valley,12:00am - 11:59pm,"September 30, 2019","Interested in meeting Silicon Valley's biggest players in entrepreneurship, innovation, and venture capital over winter break? Spend a week in January ( Jan 12-18, 2020) visiting startups and leading tech companies while networking with prominent, entrepreneurial alumni. Application due Sept. 30, 2019.",0
"The Good, the Bad, and the Ugly: Conservation Treatments and Decision Making Through the Ages","Main Library, Room 346",9:00 am - 5:00 pm,"September 30, 2019","While contemporary conservators strive to apply innovative modern conservation treatments for our objects, we see the good, the bad, and the ugly past repairs through the ages in our collections every day. In this exhibition, we bring together examples--many drawn from our own Rare Book & Manuscript Library--to show the dynamic practice of modern book & paper conservation.",0
Health/Fitness,Flu shots on the Quad/Anniversary Plaza (south of the Union) weather permitting,10:00 am - 2:00 pm,"September 30, 2019",12:00 pm,0
SPO Brown Bag--Bo Zhang--UIUC,819 Psychology,12:00 pm,"September 30, 2019",Other,0
Chai Time with Indian Student Association,"Asian American Cultural Center 1210 W. Nevada, Urbana",5:00 - 6:00 pm,"September 30, 2019","Indian Student Association will be offering free chai and cookies. They will also be discussing South Asian Media Representation. This will be at the Asian American Cultural Center, 1210 W. Nevada in Urbana. 5:00pm-6:00pm.",0
Flower Arranging Workshop with Delight Flower Farm,Allerton Park - The Mansion,6:00 - 8:00 pm,"September 30, 2019","Have a blooming night as you gather with family, friends and friendly folks to learn about a variety of autumn flowers (dahlias!) and the bouquet-making elements.",0
Chai Time with Asian American Association,"Asian American Cultural Center 1210 W. Nevada, Urbana",6:30 - 7:30 pm,"September 30, 2019",AAA will have a fun activity planned that explores how societal privileges influence our identities and values! We are a safe and open community and we welcome and encourage everyone from different backgrounds & perspectives to come out for this event. Free snacks and drinks provided.,0
Exhibit -- The Iron Horse of the Prairie State,"Main Library, room 324",12:00am - 11:59pm,"October 1, 2019","The Illinois History and Lincoln Collections is pleased to present “The Iron Horse of the Prairie State,” an exhibit that explores the evolution of the railroad in Illinois’s history. The exhibit showcases the IHLC’s holdings related to railroads, from their inception when railroad fever struck Illinois in the 1830s to today.",0
KAM Exhibition | All This Beauty and Color: Highlights from the WPA,"Main Level, Kinkead Gallery",12:00am - 11:59pm,"October 1, 2019",This exhibition showcases a selection of paintings created by American artists who were employed as part of the New Deal Works Progress Administration. This art is on long term loan to Krannert Art Museum from the United States Government and is cared for as part of the museum collection.,0
KAM Exhibition | Art Since 1948,"Main Level, Rosann Gelvin Noel Gallery",12:00am - 11:59pm,"October 1, 2019","With strengths in surrealism, abstract painting, mid-century kinetic and light works, and art addressing powerful themes of history, land use, and identity, ""Art Since 1948"" surveys the collection and encourages formal and conceptual connections across six decades.",0
KAM Exhibition | Reinstallation of European and American Art,"Main Level, Bow and Trees Galleries",12:00am - 11:59pm,"October 1, 2019","The Bow and Trees Galleries, which have been freshly painted with new colors, feature thoughtful reinterpretations of KAM’s collection of European and American art from the 1300s to 1950.",0
KAM Exhibition | Revealing Presence: Women in Architecture at the University of Illinois,"Main Level, East Gallery",12:00am - 11:59pm,"October 1, 2019","""Revealing Presence"" illuminates the scale and breadth of architectural work by women and its enduring contribution to the built environment by focusing on the work of alumnae of the Illinois School of Architecture.",0
Informational,Procter & Gamble Tech Talk,12:00am - 11:59pm,"October 1, 2019",All Day,0
Spurlock Museum exhibit | In Her Closet—How to Make a Drag Queen,"Spurlock Museum, 600 S Gregory St, Urbana",12:00am - 11:59pm,"October 1, 2019","When you hear “drag queen,” what comes to mind? The popularity of drag has exploded in recent years, and so have the questions and curiosities related to drag artistry. This exhibit explores these questions and curates a selection of costumes and materials loaned by several drag performers connected to the local area.",0
"The Good, the Bad, and the Ugly: Conservation Treatments and Decision Making Through the Ages","Main Library, Room 346",9:00 am - 5:00 pm,"October 1, 2019","While contemporary conservators strive to apply innovative modern conservation treatments for our objects, we see the good, the bad, and the ugly past repairs through the ages in our collections every day. In this exhibition, we bring together examples--many drawn from our own Rare Book & Manuscript Library--to show the dynamic practice of modern book & paper conservation.",0
